dish_id,total_calories,total_mass,ingredients,split
dish_1561662216,300.794281,193.0,soy sauce;garlic;white rice;parsley;onions;brown rice;vinegar;apple;mixed greens;sugar;salt;lemon juice;olive oil;pork;bok choy;pepper;millet,test
dish_1561662054,419.438782,292.0,pepper;white rice;mixed greens;garlic;soy sauce;millet;lemon juice;bok choy;olive oil;onions;vinegar;green beans;pork;apple;sugar;salt;parsley,train
dish_1562008979,382.936646,290.0,jalapenos;lemon juice;pork;wheat berry;cabbage;pepper;salt;carrot;garlic;caesar salad;olive oil;parsley;mayonnaise,test
dish_1560455030,20.59,103.0,cherry tomatoes;cucumbers;baby carrots,train
dish_1558372433,74.360001,143.0,deprecated,train
dish_1565640549,45.482903,139.0,tomatoes;cilantro;olive oil;mustard greens;lemon juice;onions;cucumbers;salt;arugula;jalapenos;asparagus;lime;mangos;cherry tomatoes,train
dish_1563207364,309.269989,271.0,scrambled eggs;yam;grapes;egg whites;olive oil;sweet potato,train
dish_1561575474,120.058434,183.0,salt;eggplant;roasted potatoes;cauliflower;olive oil,train
dish_1563216717,246.007996,332.0,garlic;squash;cherry tomatoes;chicken breast;spinach (raw);parmesan cheese;wheat berry;olive oil;thyme;honeydew melons;salt;broccoli,train
dish_1565972591,195.199997,122.0,chicken apple sausage,train
dish_1568649312,44.459999,78.0,berries,train
dish_1562183096,41.18898,95.0,pepper;chard;blueberries;mushroom;vinegar;arugula;mustard;olive oil;walnuts;salt,train
dish_1563476551,1116.391113,750.0,shallots;salmon;mushroom;ginger;squash;brownies;lemon juice;sour cream;lime;garlic;cheese pizza;wine;cream;brown rice;jalapenos;spinach (raw);beef;pasta;thyme;olive oil;broccoli;onions;zucchini;salt;cilantro;chili,train
dish_1559844951,274.335999,122.0,almonds;potatoes,train
dish_1562963704,663.755798,479.0,radishes;bok choy;vinegar;salt;roasted potatoes;mixed greens;soy sauce;caesar salad;garlic;sugar;pepper;white rice;pork;rice noodles;cabbage;pizza;olive oil;carrot;green onions,train
dish_1566417398,56.892494,46.0,mustard;vinegar;mixed greens;celery root;olive oil;salt;cherry tomatoes,train
dish_1561739238,274.190002,257.0,egg whites;hash browns;berries;sweet potato,test
dish_1562611680,326.888977,256.0,cilantro;garlic;olive oil;pepperoni pizza;lemon juice;onions;vinegar;blueberries;salt;caesar salad;steak;kale;jalapenos;spinach (raw);mustard;white rice;radishes;pineapple,train
dish_1564432238,455.387939,315.0,cherry tomatoes;cauliflower;lime;mayonnaise;jalapenos;pepperoni pizza;parsley;vinegar;lemon juice;cabbage;mixed greens;lettuce;salt;pepper;pineapple;pork;wheat berry;onions;cucumbers;olive oil;garlic;carrot,train
dish_1563468327,351.886047,483.0,yam;sweet potato;cottage cheese;pineapple;watermelon;olive oil;berries,train
dish_1562862493,198.320007,134.0,scrambled eggs,train
dish_1558549008,20.700001,115.0,cherry tomatoes,train
dish_1560453174,329.716248,256.0,basil;rosemary;carrot;olive oil;almonds;lemon juice;parsley;green beans;blueberries;chicken;pepper;salt;garlic;vinegar;zucchini;mustard;spinach (raw);thyme;wheat berry;squash,train
dish_1562691032,419.681702,415.0,berries;olive oil;pineapple;scrambled eggs;roasted potatoes;broccoli,test
dish_1563824250,17.200001,43.0,onions,train
dish_1560543755,257.924927,264.0,green onions;chicken;cauliflower;green beans;spinach (raw);ginger;olive oil;roasted potatoes;mixed greens;carrot;broccoli;salt;white rice;vinegar;rice noodles;cabbage;radishes;soy sauce;garlic,train
dish_1558549773,2.3,10.0,spinach (raw),test
dish_1563822597,59.400002,176.0,broccoli;caesar salad;squash;zucchini,train
dish_1566920365,490.421692,871.0,salsa;sweet potato;olive oil;egg whites,test
dish_1563984242,402.117035,753.0,sweet potato;egg whites;pineapple;olive oil;cantaloupe,test
dish_1558459276,102.699997,79.0,white rice,train
